Label,F1,F2,F3,F4,F5,F6,F7,F8,FZ,FY,FXL,NIR,Clear
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,2,4,3,0,4,99,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
